_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
137,13466139.0,Bloor St W,Keele St,137,137,137,BLOOR ST W,KEELE ST,6154,328,Bloor St W And Keele St / Parkside Dr,None,BLOOR ST W,KEELE ST,PARKSIDE DR,None,None,Toronto and East York,Parkdale-High Park(4),None,None,None,11,None,None,2018-09-05T04:00:00,"{'type': 'Point', 'coordinates': (-79.4600479973423, 43.6547070009503)}"
138,13461355.0,Eglinton Ave W,Scarlett Rd,138,138,138,EGLINTON AVE W,SCARLETT RD,6155,784,Eglinton Ave W And Scarlett Rd,None,EGLINTON AVE W,SCARLETT RD,None,None,None,Etobicoke York,Etobicoke Centre(2),None,None,None,23,22,None,2019-06-03T04:00:00,"{'type': 'Point', 'coordinates': (-79.5114570043453, 43.6839620012534)}"
139,13445306.0,Steeles Ave W,Dufferin St,139,139,139,STEELES AVE W,DUFFERIN ST,6156,619,Steeles Ave W And Dufferin St,None,STEELES AVE W,DUFFERIN ST,None,None,None,North York,York Centre(6),None,None,None,32,None,None,2018-09-05T04:00:00,"{'type': 'Point', 'coordinates': (-79.4700889909467, 43.7872830028842)}"
140,13463882.0,Dufferin St,Dupont St,140,140,140,DUFFERIN ST,DUPONT ST,6157,608,Dufferin St And Dupont St,None,DUFFERIN ST,DUPONT ST,None,None,None,Toronto and East York,Davenport(9),None,None,None,11,14,None,2018-11-28T05:00:00,"{'type': 'Point', 'coordinates': (-79.4390350096527, 43.6684640112994)}"
141,13467841.0,Bloor St W,Islington Ave,141,141,141,BLOOR ST W,ISLINGTON AVE,6158,339,Bloor St W And Islington Ave,None,BLOOR ST W,ISLINGTON AVE,None,None,None,Etobicoke York,Etobicoke-Lakeshore(3),None,None,None,22,None,None,2018-11-28T05:00:00,"{'type': 'Point', 'coordinates': (-79.5234379984697, 43.6446480024837)}"
142,,None,None,142,142,142,STEELES AVE W,HIGHWAY 27,6159,1793,Steeles Ave W And Highway 27,None,STEELES AVE W,HIGHWAY 27,None,None,None,Etobicoke York,Etobicoke North(1),None,None,None,23,None,None,2019-03-01T05:00:00,"{'type': 'Point', 'coordinates': (-79.6140899949954, 43.7554540002572)}"
143,13446608.0,Sheppard Ave E,Don Mills Rd,143,143,143,SHEPPARD AVE E,DON MILLS RD,6160,627,Sheppard Ave E And Don Mills Rd,None,SHEPPARD AVE E,DON MILLS RD,None,None,None,North York,Don Valley North(17),None,None,None,33,None,None,2019-09-19T04:00:00,"{'type': 'Point', 'coordinates': (-79.347040002097, 43.7751070040083)}"
144,13447608.0,Steeles Ave W,Signet Dr,144,144,144,STEELES AVE W,SIGNET DR,6161,1232,Steeles Ave W And Signet Dr / Old Weston Rd,None,STEELES AVE W,SIGNET DR,OLD WESTON RD,None,None,Etobicoke York,Humber River-Black Creek(7),None,None,None,31,None,None,2019-06-03T04:00:00,"{'type': 'Point', 'coordinates': (-79.5434480009718, 43.7709200085331)}"
145,13445476.0,Kennedy Rd,Sheppard Ave E,145,145,145,KENNEDY RD,SHEPPARD AVE E,6162,752,Kennedy Rd And Sheppard Ave E,None,KENNEDY RD,SHEPPARD AVE E,None,None,None,Scarborough,Scarborough-Agincourt(22),None,None,None,42,None,None,2020-05-27T04:00:00,"{'type': 'Point', 'coordinates': (-79.2882629959488, 43.7832860020415)}"
146,13461868.0,Bathurst St,Nina St,146,146,146,BATHURST ST,NINA ST,6163,306,Bathurst St And Nina St,None,BATHURST ST,NINA ST,None,None,None,Toronto and East York,Toronto-St. Paul's(12),None,None,None,13,None,None,2020-12-03T05:00:00,"{'type': 'Point', 'coordinates': (-79.4169819991952, 43.6798239968693)}"
